Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D11Mit188,endo.c,-0.595780356455996,0.111453415001173,5.34555496975778,0,0
D1Mit540,BMD.g.cm2,0.545950121800592,0.102348857990009,5.33420824152123,0,0
D8Mit124,STIFFNESS,-0.521563490941432,0.097853772570975,5.33002946374023,0,0
D9Mit1001,endo.c,-0.613668514473604,0.115178073485873,5.32799773343033,0,0
D17Mit164,BV.CORTICAL,-0.447886562202345,0.0841216532966077,5.32427198765489,0,0
D9Mit1001,BV.CORTICAL,-0.630267764928545,0.118496841345623,5.31885709164369,0,0
D11Mit188,ROI.L2.4.BMD,0.242754676310643,0.0458169803819732,5.29835607425047,0,0
D8Mit124,body.weight,-0.447804847103448,0.0845245231924871,5.29792810642262,0,0
D9Mit151,peri.c,-0.618261611788697,0.116739117904716,5.29609631189206,0,0
D4Mit42,BV.TV,0.578131922515679,0.109166553455278,5.29587043116204,0,0
D1Mit236,Tb.N,0.312751177650846,0.0592343402059471,5.2798963669295,0,0
D1Mit236,C.Th,0.621501789155456,0.117853247196251,5.27352282555713,0,0
D2MIT285,ROI.L2.4.BMD,0.237602210390961,0.0451302463138006,5.26481084855731,0,0
D9Mit151,TV,-0.645169322750528,0.122587393895239,5.2629336691983,0,0
D8Mit124,D8Mit200,-0.850521796747398,0.161616679641026,5.26258674931654,0,0
D17Mit20,BV.CORTICAL,-0.612047187292331,0.116371643049152,5.25941862858996,0,0
D11Mit2,Final.IGF.1,0.264961706064452,0.050378527268595,5.25941746275748,0,0
D2MIT285,BV.TV,0.58197294214323,0.110688093212732,5.25777367060368,0,0
D10Mit77,pQCT.fem.dens,-0.60058554917627,0.114243171770077,5.25708048779489,0,0
D10Mit77,ROI.L2.4.BMD,-0.236408974103862,0.0450728247983663,5.24504455093373,0,0
D8Mit292,pQCT.fem.dens,0.613254709141883,0.116950971093979,5.24369061159046,0,0
D13Mit16,Tb.N,0.265594024217496,0.0506630249137919,5.24236412392333,0,0
D8Mit124,Femur.Length,-0.468010408942069,0.0892760177852991,5.24228589661775,0,0
D9Mit1001,BMD.g.cm2,-0.582716690118824,0.111326284374701,5.23431365190922,0,0
D9Mit12,pctFat,-0.371531955255205,0.0711964734195713,5.21840390977953,0,0
D13Mit16,C.Th,0.525787157104941,0.100783497744345,5.21699652098493,0,0
D2MIT285,Tb.Th,0.371699498785767,0.0712527348135743,5.21663483876488,0,0
D1Mit236,Final.IGF.1,0.296344777732616,0.0568121704792676,5.21621996189638,0,0
D9Mit12,Femur.Length,-0.530626204971205,0.101759866786195,5.2144939034373,0,0
D9Mit12,body.weight,-0.501682452372128,0.0963422208678944,5.20729590674519,0,0
D17Mit164,BMD.g.cm2,-0.411193392144485,0.0790381775894285,5.20246550066562,0,0
D9Mit12,STIFFNESS,-0.580166128044184,0.111533823154157,5.20170573945361,0,0
D8Mit124,pctFat,-0.324481872250843,0.0624612638857229,5.19492965823593,0,0
D7Mit75,Tb.N,0.260174626400905,0.0500873721447082,5.19441558341752,0,0
D7Mit75,C.Th,0.517226015464371,0.0996284405249528,5.19154985001324,0,0
D10Mit77,Tb.Th,-0.368111280603436,0.0711448237420841,5.17411192046692,0,0
D7Mit75,Final.IGF.1,0.247302896916827,0.0479423770553712,5.15833615490537,0,0
D2MIT285,cort.thick,0.520312952338108,0.10102749483604,5.15021136753451,0,0
D11Mit188,Tb.Th,0.372666889871544,0.0724335357127598,5.14494959005426,0,0
D13Mit88,Final.IGF.1,0.237014360780182,0.0461174755640322,5.13936111813182,0,0
D1Mit540,BV.CORTICAL,0.559799122740928,0.108951914845455,5.13803840469427,0,0
D7Mit75,BV.TV,0.569474925807553,0.111060304998285,5.1276189617555,0,0
D17Mit20,BMD.g.cm2,-0.559018369471977,0.109333218616696,5.1129782562407,0,0
