Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D15MIT143,BMD.g.cm2,0.591913329886419,0.105972537247547,5.58553513259513,0,< 0.00323
D9Mit12,Tb.Th,-0.475537762727809,0.0851737981533937,5.58314614397482,0,< 0.00323
D9Mit90,STIFFNESS,-0.621887673342515,0.111431024960072,5.58092033673163,0,< 0.00323
D15MIT143,endo.c,0.529269680360274,0.0948379691378879,5.58077830189249,0,< 0.00323
D17Mit164,Femur.Length,-0.424804351393945,0.0761603650602715,5.57776149126603,0,< 0.00323
D4Mit111,BV.TV,0.567502944380592,0.101812267585004,5.57401340567116,0,< 0.00323
D4Mit111,peri.c,0.646922041298376,0.116271661273558,5.56388404717405,0,< 0.00323
D13Mit125,cort.thick,0.602605394011341,0.108433867586387,5.5573540575896,0,< 0.00323
D14Mit5,Tb.N,0.468377778637421,0.08429011197836,5.55673456404553,0,< 0.00323
D9Mit259,BMD.g.cm2,-0.618560737758176,0.111400827065566,5.55256863033985,0,< 0.00323
D2Mit395,C.Th,0.631532300819574,0.113789940161689,5.54998359189048,0,< 0.00323
D8Mit124,TV,-0.598206748296444,0.107910009833633,5.54357051045322,0,< 0.00323
D8Mit124,peri.c,-0.57829825338875,0.104369770876254,5.54085966207983,0,< 0.00323
D10Mit77,cort.thick,-0.611572409692247,0.110612847297941,5.52894554865716,0,< 0.00323
D18Mit147,Tb.N,-0.547076377564015,0.0991048749835659,5.52017625424313,0,< 0.00323
D4Mit111,C.Th,0.663692257009243,0.120274245167706,5.51815774095123,0,< 0.00323
D9Mit151,BV.CORTICAL,-0.660962193839006,0.119837105459962,5.51550532952279,0,< 0.00323
D2Mit323,BV.TV.TRABECULAR,-0.660230711291801,0.119754579895931,5.51319800767166,0,< 0.00323
D9Mit151,STIFFNESS,-0.633688920349369,0.11509579441908,5.50575217407177,0,< 0.00323
D11Mit188,endo.c,-0.66436017474609,0.120796069375095,5.4998492764125,0,< 0.00323
D1Mit540,C.Th,0.641482063887978,0.116748270893306,5.49457442906558,0,< 0.00323
D17Mit76,STIFFNESS,-0.647892549372068,0.118086080291806,5.48661237438861,0,< 0.00323
D2MIT285,D18Mit123,-0.675024843847254,0.123176811970466,5.48012919841687,0,< 0.00323
D2MIT206,Tb.N,-0.616355655761539,0.112479588658587,5.47971114681424,0,< 0.00323
D12Mit169,Tb.N,-0.631447509697575,0.115577124708567,5.46342982047528,0,< 0.00323
sex,peri.c,0.440227129645903,0.0807060105349226,5.45470066886048,0,< 0.00323
D12Mit60,Tb.N,-0.664589253382937,0.12206188612578,5.44469100451309,0,< 0.00323
D4Mit111,TV,0.654116341199866,0.120241822073264,5.44000689544865,0,< 0.00323
D10Mit77,C.Th,-0.620556309073972,0.114123091503487,5.43760514106831,0,< 0.00323
D1Mit7,C.Th,0.602496322869563,0.11088222264443,5.43366022524287,0,< 0.00323
D9Mit253,peri.c,-0.652725770882533,0.120156331465289,5.43230442310146,0,< 0.00323
D9Mit259,endo.c,-0.69232317696661,0.127561566448714,5.42736496768373,0,< 0.00323
D17MIT175,BMD.g.cm2,-0.597849882202042,0.110194969714538,5.42538269896333,0,< 0.00323
D15Mit67,Femur.Length,0.531354919227208,0.0979991075591033,5.42203834771401,0,< 0.00323
D1Mit386,Tb.Th,0.489911420923409,0.0903592771715386,5.42181651136229,0,< 0.00323
D14Mit75,BV.TV,0.462687838125032,0.0854477842170283,5.41486057672196,0,< 0.00323
D3Mit57,peri.c,0.595180086558097,0.109947263131333,5.41332334800503,0,< 0.00323
D9Mit90,Femur.Length,-0.534982851390963,0.0988991472750872,5.40937779678638,0,< 0.00323
D9Mit151,peri.c,-0.637580346190114,0.117900217768933,5.40779617082368,0,< 0.00323
D9Mit259,BV.TV.TRABECULAR,-0.682925301589739,0.12633587768498,5.4056323041711,0,< 0.00323
D9Mit253,Femur.Length,-0.514312488115596,0.0951485351796288,5.40536422494195,0,< 0.00323
D15MIT143,BV.CORTICAL,0.622342279669075,0.115166940851954,5.40382747918165,0,< 0.00323
D18Mit123,Tb.N,-0.522929614910345,0.0968344092690573,5.4002458305639,0,< 0.00323
D17Mit164,BV.TV.TRABECULAR,-0.663958488745123,0.12296865161196,5.39941261485336,0,< 0.00323
D9Mit1001,BMD.g.cm2,-0.576450368898816,0.107006160496337,5.38707646573814,0,< 0.00323
D17Mit39,pctFat,-0.692275296027512,0.12883808415975,5.37321942143395,0,< 0.00323
D19MIT88,STIFFNESS,-0.583527539530088,0.108785994272334,5.36399509360819,0,< 0.00323
D8Mit200,cort.thick,0.667457160984574,0.124666919144625,5.35392360350432,0,< 0.00323
D9Mit1001,STIFFNESS,-0.586970771130255,0.109730946602462,5.34918169672551,0,< 0.00323
D14MIT60,Tb.N,0.644829986270716,0.120579717808457,5.34774834433633,0,< 0.00323
D4Mit111,Tb.Th,0.455150990103827,0.0851416720828328,5.34580751081585,0,< 0.00323
D9Mit253,TV,-0.608119007858841,0.113778363231574,5.34476846552213,0,< 0.00323
D18Mit9,BV.CORTICAL,0.56738220332476,0.106263468349789,5.3393909697837,0,< 0.00323
D10Mit77,pQCT.fem.dens,-0.612479079961887,0.115222066623192,5.31564046637751,0,< 0.00323
D3Mit57,TV,0.604549853016254,0.113737175434837,5.31532325033531,0,< 0.00323
D13Mit125,C.Th,0.599778972190624,0.11300377818952,5.30760105369865,0,< 0.00323
D18Mit9,cort.thick,0.626008745636823,0.118366877915385,5.28871553142026,0,< 0.00323
